openedAt,date,city,bucket,side,signal,marketPrice,fillPrice,stake,realizedMax,result,pnl
2026-09-08T12:11:42.615Z,2026-09-08,london,19°C,NO,MODEL_NO,3,5,10,17,WIN,190.00
2026-09-08T12:11:42.868Z,2026-09-08,paris,26°C,NO,MODEL_NO,33,35,10,25,WIN,18.57
2026-09-08T12:11:42.868Z,2026-09-08,paris,27°C,NO,MODEL_NO,70,72,10,25,WIN,3.89
2026-09-08T18:41:42.065Z,2026-09-09,hong-kong,29°C,YES,MODEL_YES,9,11,10,,,
2026-09-08T18:41:42.065Z,2026-09-09,hong-kong,31°C,NO,MODEL_NO,64,66,10,,,
2026-09-08T18:41:42.573Z,2026-09-09,shanghai,27°C,YES,MODEL_YES,4,6,10,28,LOSS,-10.00
2026-09-08T18:41:42.573Z,2026-09-09,shanghai,29°C,NO,MODEL_NO,57,59,10,28,WIN,6.95
2026-09-08T18:41:42.893Z,2026-09-09,beijing,25°C,YES,MODEL_YES,17,19,10,27,LOSS,-10.00
2026-09-08T18:41:42.893Z,2026-09-09,beijing,26°C,NO,MODEL_NO,44,46,10,27,WIN,11.74
2026-09-08T18:41:43.854Z,2026-09-09,shenzhen,31°C,YES,MODEL_YES,20,22,10,32,LOSS,-10.00
2026-09-08T18:41:43.855Z,2026-09-09,shenzhen,33°C,NO,MODEL_NO,74,76,10,32,WIN,3.16
2026-09-09T12:23:11.304Z,2026-09-09,london,18°C,YES,MODEL_YES,3,5,10,19,LOSS,-10.00
2026-09-09T12:23:11.304Z,2026-09-09,london,20°C,NO,MODEL_NO,44,46,10,19,WIN,11.74
2026-09-09T12:23:11.898Z,2026-09-09,paris,21°C,NO,MODEL_NO,41,43,10,22,WIN,13.26
2026-09-09T12:23:11.898Z,2026-09-09,paris,22°C,NO,MODEL_NO,59,61,10,22,LOSS,-10.00
2026-09-09T18:38:11.466Z,2026-09-10,hong-kong,29°C,YES,MODEL_YES,3,5,10,,,
2026-09-09T18:38:11.466Z,2026-09-10,hong-kong,31°C,NO,MODEL_NO,51,53,10,,,
2026-09-09T18:38:11.466Z,2026-09-10,hong-kong,32°C,NO,MODEL_NO,74,76,10,,,
2026-09-09T18:38:15.485Z,2026-09-10,beijing,28°C,YES,MODEL_YES,5,7,10,31,LOSS,-10.00
2026-09-09T18:38:15.485Z,2026-09-10,beijing,29°C,YES,MODEL_YES,17,19,10,31,LOSS,-10.00
2026-09-09T18:38:15.485Z,2026-09-10,beijing,30°C,NO,MODEL_NO,44,46,10,31,WIN,11.74
2026-09-09T18:38:15.485Z,2026-09-10,beijing,31°C,NO,MODEL_NO,78,80,10,31,LOSS,-10.00
2026-09-09T18:38:17.673Z,2026-09-10,shenzhen,30°C,YES,MODEL_YES,16,18,10,33,LOSS,-10.00
2026-09-10T12:16:42.518Z,2026-09-10,london,21°C,NO,MODEL_NO,17,19,10,,,
2026-09-10T12:16:42.518Z,2026-09-10,london,22°C,NO,MODEL_NO,84,86,10,,,
2026-09-10T12:16:42.659Z,2026-09-10,paris,20°C,YES,MODEL_YES,4,6,10,,,
2026-09-10T12:16:42.659Z,2026-09-10,paris,21°C,YES,MODEL_YES,38,40,10,,,
2026-09-10T12:16:42.659Z,2026-09-10,paris,22°C,NO,MODEL_NO,54,56,10,,,
2026-09-10T18:29:51.826Z,2026-09-11,hong-kong,31°C,NO,MODEL_NO,59,61,10,,,
2026-09-10T18:29:53.137Z,2026-09-11,beijing,30°C,YES,MODEL_YES,7,9,10,,,
2026-09-10T18:29:53.137Z,2026-09-11,beijing,32°C,NO,MODEL_NO,52,54,10,,,
2026-09-10T18:29:53.921Z,2026-09-11,shenzhen,30°C,YES,MODEL_YES,6,8,10,,,
2026-09-10T18:29:53.921Z,2026-09-11,shenzhen,31°C,YES,MODEL_YES,26,28,10,,,
2026-09-10T18:29:53.921Z,2026-09-11,shenzhen,32°C,NO,MODEL_NO,49,51,10,,,
2026-09-11T12:15:27.450Z,2026-09-11,london,21°C,YES,MODEL_YES,23,25,10,,,
2026-09-11T12:15:27.450Z,2026-09-11,london,22°C,NO,MODEL_NO,41,43,10,,,
2026-09-11T12:15:28.240Z,2026-09-11,paris,24°C,YES,MODEL_YES,7,9,10,,,
2026-09-11T12:15:28.240Z,2026-09-11,paris,25°C,NO,MODEL_NO,35,37,10,,,
2026-09-11T12:15:28.240Z,2026-09-11,paris,26°C,NO,MODEL_NO,68,70,10,,,
